"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Strain","Unit","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
105834,NA,NA,"Butyrate-producing bacterium L1-81","acetate producing",-2,"Barcenilla_2000","exp","usually","high","L1-81","mM","species","Eubacteriales",186802,"order"
105835,NA,NA,"Butyrate-producing bacterium L1-810","acetate producing",41,"Barcenilla_2000","exp","usually","high","L1-810","mM","species","Eubacteriales",186802,"order"
105833,NA,NA,"Butyrate-producing bacterium L1-952","acetate producing",-10,"Barcenilla_2000","exp","usually","high","L1-952","mM","species","Eubacteriales",186802,"order"
105832,NA,NA,"Butyrate-producing bacterium L1-93","acetate producing",-10.6,"Barcenilla_2000","exp","usually","high","L1-93","mM","species","Eubacteriales",186802,"order"
360807,NA,NA,"Roseburia inulinivorans","acetate producing",-2.3,"Barcenilla_2000","exp","usually","high","L1-83","mM","species","Roseburia",841,"genus"
411490,NA,NA,"Anaerostipes caccae L1-92","acetate producing",-3.9,"Barcenilla_2000","exp","usually","high","L1-92","mM","strain","Anaerostipes caccae",105841,"species"
105831,NA,NA,"Butyrate-producing bacterium L2-21","acetate producing",-3.6,"Barcenilla_2000","exp","usually","high","L2-21","mM","species","Eubacteriales",186802,"order"
105844,NA,NA,"Butyrate-producing bacterium L2-50","acetate producing",11.1,"Barcenilla_2000","exp","usually","high","L2-50","mM","species","Eubacteriales",186802,"order"
105829,NA,NA,"Butyrate-producing bacterium A1-86","acetate producing",-2.1,"Barcenilla_2000","exp","usually","high","A1-86","mM","species","Eubacteriales",186802,"order"
585394,NA,NA,"Roseburia hominis A2-183","acetate producing",-8.2,"Barcenilla_2000","exp","usually","high","A2-183","mM","strain","Roseburia hominis",301301,"species"
105830,NA,NA,"Butyrate-producing bacterium T1-815","acetate producing",0.7,"Barcenilla_2000","exp","usually","high","T1-815","mM","species","Eubacteriales",186802,"order"
105845,NA,NA,"Butyrate-producing bacterium T1-817","acetate producing",7.2,"Barcenilla_2000","exp","usually","high","T1-817","mM","species","Bifidobacteriales",85004,"order"
718252,NA,NA,"Faecalibacterium prausnitzii L2-6","acetate producing",-4.8,"Barcenilla_2000","exp","usually","high","L2-6","mM","strain","Faecalibacterium prausnitzii",853,"species"
411483,NA,NA,"Faecalibacterium prausnitzii A2-165","acetate producing",-7.4,"Barcenilla_2000","exp","usually","high","A2-165","mM","species","Faecalibacterium",216851,"genus"
105843,NA,NA,"Anaerobutyricum soehngenii","acetate producing",-2.2,"Barcenilla_2000","exp","usually","high","L2-7","mM","species","Anaerobutyricum",2569097,"genus"
105840,NA,NA,"Butyrate-producing bacterium L2-10","acetate producing",-4.3,"Barcenilla_2000","exp","usually","high","L2-10","mM","species","Eubacteriales",186802,"order"
136624,NA,NA,"Butyrate-producing bacterium L2-12","acetate producing",-1.7,"Barcenilla_2000","exp","usually","high","L2-12","mM","species","Eubacteriales",186802,"order"
105842,NA,NA,"Butyrate-producing bacterium A2-166","acetate producing",2.4,"Barcenilla_2000","exp","usually","high","A2-166","mM","species","Eubacteriales",186802,"order"
105825,NA,NA,"Butyrate-producing bacterium A2-207","acetate producing",-2,"Barcenilla_2000","exp","usually","high","A2-207","mM","species","Eubacteriales",186802,"order"
105838,NA,NA,"Butyrate-producing bacterium A2-231","acetate producing",5.2,"Barcenilla_2000","exp","usually","high","A2-231","mM","species","Eubacteriales",186802,"order"
105839,NA,NA,"Butyrate-producing bacterium A2-175","acetate producing",-1.8,"Barcenilla_2000","exp","usually","high","A2-175","mM","species","Eubacteriales",186802,"order"
105837,NA,NA,"Butyrate-producing bacterium T2-132","acetate producing",47.6,"Barcenilla_2000","exp","usually","high","T2-132","mM","species","Eubacteriales",186802,"order"
622312,NA,NA,"Roseburia inulinivorans DSM 16841","acetate producing",-3.5,"Barcenilla_2000","exp","usually","high","A2-194","mM","strain","Roseburia inulinivorans",360807,"species"
105826,NA,NA,"Butyrate-producing bacterium T2-145","acetate producing",1,"Barcenilla_2000","exp","usually","high","T2-145","mM","species","Eubacteriales",186802,"order"
