"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Note","Strain","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
85683,NA,"","[Bacillus] selenitireducens","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Salisediminibacterium",1434042,"genus"
85683,NA,"","[Bacillus] selenitireducens","obligately anaerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Salisediminibacterium",1434042,"genus"
384638,NA,"","[Bacteroides] pectinophilus","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Eubacteriales",186802,"order"
384638,NA,"","[Bacteroides] pectinophilus","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Eubacteriales",186802,"order"
11,NA,"","[Cellvibrio] gilvus","facultatively anaerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Cellulomonas",1707,"genus"
11,NA,"","[Cellvibrio] gilvus","obligately anaerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Cellulomonas",1707,"genus"
1490,NA,"","[Clostridium] bifermentans","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Paraclostridium",1849822,"genus"
1490,NA,"","[Clostridium] bifermentans","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Paraclostridium",1849822,"genus"
208479,NA,"","[Clostridium] bolteae","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Enterocloster",2719313,"genus"
208479,NA,"","[Clostridium] bolteae","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Enterocloster",2719313,"genus"
1521,NA,"","[Clostridium] cellulolyticum","facultatively anaerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Ruminiclostridium",1508657,"genus"
1521,NA,"","[Clostridium] cellulolyticum","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Ruminiclostridium",1508657,"genus"
1521,NA,"","[Clostridium] cellulolyticum","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Ruminiclostridium",1508657,"genus"
358743,NA,"","[Clostridium] citroniae","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Enterocloster",2719313,"genus"
358743,NA,"","[Clostridium] citroniae","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Enterocloster",2719313,"genus"
288965,NA,"","[Clostridium] clariflavum","facultatively anaerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Acetivibrio",35829,"genus"
288965,NA,"","[Clostridium] clariflavum","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Acetivibrio",35829,"genus"
288965,NA,"","[Clostridium] clariflavum","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Acetivibrio",35829,"genus"
1531,NA,"","[Clostridium] clostridioforme","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Enterocloster",2719313,"genus"
1531,NA,"","[Clostridium] clostridioforme","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Enterocloster",2719313,"genus"
154046,NA,"","[Clostridium] hathewayi","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Hungatella",1649459,"genus"
154046,NA,"","[Clostridium] hathewayi","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Hungatella",1649459,"genus"
1522,NA,"","[Clostridium] innocuum","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Erysipelatoclostridium",1505663,"genus"
1522,NA,"","[Clostridium] innocuum","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Erysipelatoclostridium",1505663,"genus"
1535,NA,"","[Clostridium] leptum","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Oscillospiraceae",216572,"family"
1535,NA,"","[Clostridium] leptum","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Oscillospiraceae",216572,"family"
81424,NA,"","[Clostridium] methoxybenzovorans","obligately aerobic",FALSE,"ProTraits","igc","always","medium",NA,NA,"species","Lachnoclostridium",1506553,"genus"
81424,NA,"","[Clostridium] methoxybenzovorans","obligately anaerobic",TRUE,"ProTraits","igc","always","medium",NA,NA,"species","Lachnoclostridium",1506553,"genus"
