"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Rank","Parent_name","Parent_NCBI_ID","Parent_rank","Confidence_in_curation"
244596,NA,NA,"Hoeflea phototrophica","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Hoeflea",274591,"genus","Low"
53633,NA,NA,"Sulfobacillus acidophilus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Sulfobacillus",28033,"genus","Low"
53635,NA,NA,"Acidimicrobium ferrooxidans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Acidimicrobium",53634,"genus","Low"
50339,NA,NA,"Thermoplasma volcanium","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Thermoplasma",2302,"genus","Low"
28034,NA,NA,"Sulfobacillus thermosulfidooxidans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Sulfobacillus",28033,"genus","Low"
405212,NA,NA,"Alicyclobacillus acidocaldarius","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Alicyclobacillus",29330,"genus","Low"
61645,NA,NA,"Enterobacter asburiae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Enterobacter",547,"genus","Low"
1450,NA,NA,"Alicyclobacillus acidoterrestris","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Alicyclobacillus",29330,"genus","Low"
89784,NA,NA,"Alicyclobacillus hesperidum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Alicyclobacillus",29330,"genus","Low"
232270,NA,NA,"Alicyclobacillus pohliae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Effusibacillus",1502725,"genus","Low"
176292,NA,NA,"Lactobacillus malefermentans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Secundilactobacillus",2767892,"genus","Low"
454171,NA,NA,"Chthonomonas calidirosea","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Chthonomonas",1077265,"genus","Low"
33075,NA,NA,"Acidobacterium capsulatum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Acidobacterium",33973,"genus","Low"
153233,NA,NA,"Oceanicaulis alexandrii","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Oceanicaulis",153232,"genus","Low"
337,NA,NA,"Burkholderia glumae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Burkholderia",32008,"genus","Low"
267818,NA,NA,"Lactobacillus kefiranofaciens","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Lactobacillus",1578,"genus","Low"
332163,NA,NA,"Candidatus Solibacter usitatus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Candidatus Solibacter",332162,"genus","Low"
940615,NA,NA,"Granulicella tundricola","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Granulicella",940557,"genus","Low"
940614,NA,NA,"Granulicella mallensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Granulicella",940557,"genus","Low"
311334,NA,NA,"Chryseobacterium taeanense","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Chryseobacterium",59732,"genus","Low"
388413,NA,NA,"Algoriphagus machipongonensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Algoriphagus",246875,"genus","Low"
358766,NA,NA,"Methanoregula boonei","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanoregula",395331,"genus","Low"
658062,NA,NA,"Candidatus Koribacter versatilis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Candidatus Koribacter",658061,"genus","Low"
1097,NA,NA,"Chlorobaculum tepidum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Chlorobaculum",256319,"genus","Low"
55208,NA,NA,"Pectobacterium wasabiae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Pectobacterium",122277,"genus","Low"
1406,NA,NA,"Paenibacillus polymyxa","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Paenibacillus",44249,"genus","Low"
158836,NA,NA,"Enterobacter hormaechei","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Enterobacter",547,"genus","Low"
191863,NA,NA,"Chthoniobacter flavus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Chthoniobacter",295577,"genus","Low"
475088,NA,NA,"Methanosphaerula palustris","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanosphaerula",475087,"genus","Low"
28049,NA,NA,"Acidothermus cellulolyticus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Acidothermus",28048,"genus","Low"
1517,NA,NA,"Thermoanaerobacterium thermosaccharolyticum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Thermoanaerobacterium",28895,"genus","Low"
228745,NA,NA,"Thermovibrio ammonificans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Thermovibrio",171868,"genus","Low"
549685,NA,NA,"Bavariicoccus seileri","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Bavariicoccus",697279,"genus","Low"
39483,NA,NA,"Eubacterium cylindroides","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Faecalitalea",1573534,"genus","Low"
442,NA,NA,"Gluconobacter oxydans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Gluconobacter",441,"genus","Low"
1353277,NA,NA,"Rhizobium freirei","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Rhizobium",379,"genus","Low"
309806,NA,NA,"Sulfurihydrogenibium azorense","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Sulfurihydrogenibium",212790,"genus","Low"
300,NA,NA,"Pseudomonas mendocina","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Pseudomonas",286,"genus","Low"
165096,NA,NA,"Weissella koreensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Weissella",46255,"genus","Low"
304895,NA,NA,"Catenulispora acidiphila","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Catenulispora",414878,"genus","Low"
870903,NA,NA,"Terriglobus saanensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Terriglobus",392733,"genus","Low"
33905,NA,NA,"Bifidobacterium thermophilum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Bifidobacterium",1678,"genus","Low"
149715,NA,NA,"Marinitoga piezophila","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Marinitoga",160798,"genus","Low"
64160,NA,NA,"Desulfurobacterium thermolithotrophum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Desulfurobacterium",64159,"genus","Low"
309805,NA,NA,"Persephonella marina","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Persephonella",182899,"genus","Low"
796942,NA,NA,"Stomatobaculum longum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Stomatobaculum",1213720,"genus","Low"
1254,NA,NA,"Pediococcus acidilactici","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Pediococcus",1253,"genus","Low"
1231337,NA,NA,"Lactobacillus shenzhenensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Schleiferilactobacillus",2767891,"genus","Low"
481722,NA,NA,"Lactobacillus kisonensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Lentilactobacillus",2767893,"genus","Low"
423351,NA,NA,"Mucilaginibacter paludis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Mucilaginibacter",423349,"genus","Low"
419186,NA,NA,"Natrinema gari","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Natrinema",88723,"genus","Low"
171695,NA,NA,"Thermodesulfatator indicus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Thermodesulfatator",241192,"genus","Low"
134821,NA,NA,"Ureaplasma parvum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Ureaplasma",2129,"genus","Low"
314344,NA,NA,"Mariprofundus ferrooxydans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Mariprofundus",377315,"genus","Low"
2198,NA,NA,"Methanoculleus marisnigri","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanoculleus",45989,"genus","Low"
83769,NA,NA,"Succinimonas amylolytica","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Succinimonas",83768,"genus","Low"
1254,NA,NA,"Pediococcus lolii","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Pediococcus",1253,"genus","Low"
453852,NA,NA,"Joostella marina","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Joostella",453850,"genus","Low"
205844,NA,NA,"FALSEvosphingobium pentaromativorans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Novosphingobium",165696,"genus","Low"
69223,NA,NA,"Dickeya paradisiaca","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Musicola",2884243,"genus","Low"
204038,NA,NA,"Dickeya dadantii","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Dickeya",204037,"genus","Low"
204042,NA,NA,"Dickeya zeae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Dickeya",204037,"genus","Low"
1089444,NA,NA,"Dickeya solani","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Dickeya",204037,"genus","Low"
703,NA,NA,"Plesiomonas shigelloides","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Plesiomonas",702,"genus","Low"
68909,NA,NA,"Deinococcus geothermalis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Deinococcus",1298,"genus","Low"
667126,NA,NA,"Methanocaldococcus villosus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanocaldococcus",196118,"genus","Low"
2221,NA,NA,"Methanolobus tindarius","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanolobus",2220,"genus","Low"
379900,NA,NA,"Niabella aurantiaca","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Niabella",379899,"genus","Low"
105560,NA,NA,"Methylibium petroleiphilum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methylibium",316612,"genus","Low"
446683,NA,NA,"Niabella soli","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Niabella",379899,"genus","Low"
411361,NA,NA,"Halosarcina pallida","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Halogeometricum",60846,"genus","Low"
246787,NA,NA,"Bacteroides cellulosilyticus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Bacteroides",816,"genus","Low"
444463,NA,NA,"Sporolactobacillus vineae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Sporolactobacillus",2077,"genus","Low"
332168,NA,NA,"Halococcus hamelinensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Halococcus",2249,"genus","Low"
2188,NA,NA,"Methanococcus voltae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanococcus",2184,"genus","Low"
78342,NA,NA,"Bifidobacterium gallicum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Bifidobacterium",1678,"genus","Low"
380174,NA,NA,"Cohnella laeviribosi","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Cohnella",329857,"genus","Low"
197162,NA,NA,"Deferribacter desulfuricans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Deferribacter",53572,"genus","Low"
693075,NA,NA,"Caldisericum exile","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Caldisericum",693074,"genus","Low"
46541,NA,NA,"Thermosipho melanesiensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Thermosipho",2420,"genus","Low"
73913,NA,NA,"Methanocaldococcus vulcanius","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanocaldococcus",196118,"genus","Low"
2180,NA,NA,"Methanothermus fervidus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanothermus",2179,"genus","Low"
67760,NA,NA,"Methanocaldococcus infernus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanocaldococcus",196118,"genus","Low"
498846,NA,NA,"Candidatus Korarchaeum cryptofilum","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Candidatus Korarchaeum",498845,"genus","Low"
2320,NA,NA,"Methanopyrus kandleri","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanopyrus",2319,"genus","Low"
354356,NA,NA,"Niastella koreensis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Niastella",354354,"genus","Low"
533267,NA,NA,"Actinopolymorpha alba","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Actinopolymorpha",117156,"genus","Low"
1624,NA,NA,"Lactobacillus salivarius","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Ligilactobacillus",2767887,"genus","Low"
210408,NA,NA,"Thiorhodococcus drewsii","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Thiorhodococcus",57488,"genus","Low"
255616,NA,NA,"Haloferax sulfurifontis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Haloferax",2251,"genus","Low"
1358,NA,NA,"Lactococcus lactis","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Lactococcus",1357,"genus","Low"
33959,NA,NA,"Lactobacillus johnsonii","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Lactobacillus",1578,"genus","Low"
84205,NA,NA,"Chlorobium ferrooxidans","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Chlorobium",1091,"genus","Low"
213185,NA,NA,"Methanotorris formicicus","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanotorris",196119,"genus","Low"
83171,NA,NA,"Methanocaldococcus fervens","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Methanocaldococcus",196118,"genus","Low"
363259,NA,NA,"Kaistia granuli","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Kaistia",166953,"genus","Low"
363848,NA,NA,"Dyella ginsengisoli","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Dyella",231454,"genus","Low"
730,NA,NA,"Haemophilus ducreyi","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Haemophilus",724,"genus","Low"
496058,NA,NA,"Spirosoma panaciterrae","animal pathogen",FALSE,"The Microbe Directory","unknown","unknown","species","Spirosoma",107,"genus","Low"
