"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
300419,NA,NA,"Catellicoccus marimammalium","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Catellicoccus",300418,"genus"
110321,NA,NA,"Sinorhizobium medicae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Sinorhizobium",28105,"genus"
400065,NA,NA,"Streptococcus merionis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptococcus",1301,"genus"
212,NA,NA,"Helicobacter acinonychis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Helicobacter",209,"genus"
96345,NA,NA,"Flavobacterium psychrophilum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Flavobacterium",237,"genus"
759620,NA,NA,"Weissella ceti","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Weissella",46255,"genus"
630,NA,NA,"Yersinia enterocolitica","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Yersinia",629,"genus"
28152,NA,NA,"Yersinia kristensenii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Yersinia",629,"genus"
2061,NA,NA,"Tsukamurella paurometabola","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Tsukamurella",2060,"genus"
409322,NA,NA,"Treponema pedis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Treponema",157,"genus"
184917,NA,NA,"Desulfovibrio magneticus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Solidesulfovibrio",2910984,"genus"
657445,NA,NA,"Francisella noatunensis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Francisella",262,"genus"
182337,NA,NA,"Erwinia billingiae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Erwinia",551,"genus"
44449,NA,NA,"Borrelia recurrentis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Borrelia",138,"genus"
60550,NA,NA,"Burkholderia pyrrocinia","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Burkholderia",32008,"genus"
148447,NA,NA,"Burkholderia phymatum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Paraburkholderia",1822464,"genus"
2096,NA,NA,"Mycoplasma gallisepticum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Mycoplasma",2093,"genus"
202950,NA,NA,"Acinetobacter baylyi","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Acinetobacter",469,"genus"
202951,NA,NA,"Acinetobacter bouvetii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Acinetobacter",469,"genus"
262668,NA,NA,"Acinetobacter beijerinckii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Acinetobacter",469,"genus"
1640,NA,NA,"Listeria seeligeri","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Listeria",1637,"genus"
1641,NA,NA,"Listeria grayi","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Listeria",1637,"genus"
1642,NA,NA,"Listeria innocua","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Listeria",1637,"genus"
1684,NA,NA,"Bifidobacterium asteroides","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Bifidobacterium",1678,"genus"
1693,NA,NA,"Bifidobacterium minimum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Bifidobacterium",1678,"genus"
1694,NA,NA,"Bifidobacterium pseudolongum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Bifidobacterium",1678,"genus"
45634,NA,NA,"Streptococcus cristatus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptococcus",1301,"genus"
183,NA,NA,"Leptonema illini","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Leptonema",32205,"genus"
113107,NA,NA,"Streptococcus australis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Streptococcus",1301,"genus"
529731,NA,NA,"Listeria marthii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Listeria",1637,"genus"
78587,NA,NA,"Asticcacaulis excentricus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Asticcacaulis",76890,"genus"
574560,NA,NA,"Photorhabdus temperata","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Photorhabdus",29487,"genus"
54299,NA,NA,"Chroococcoiddiopsis thermalis","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Chroococcidiopsis",54298,"genus"
412963,NA,NA,"Burkholderia rhizoxinica","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Mycetohabitans",2571159,"genus"
420952,NA,NA,"Burkholderia bryophila","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Paraburkholderia",1822464,"genus"
1538,NA,NA,"Clostridium ljungdahlii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Clostridium",1485,"genus"
66219,NA,NA,"Clostridium phytofermentans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Lachnoclostridium",1506553,"genus"
161493,NA,NA,"Anaeromyxobacter dehalogenans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Anaeromyxobacter",161492,"genus"
1501,NA,NA,"Clostridium pasteurianum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Clostridium",1485,"genus"
1534,NA,NA,"Clostridium kluyveri","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Clostridium",1485,"genus"
1454,NA,NA,"Bacillus azotoformans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Schinkia",2837509,"genus"
1488,NA,NA,"Clostridium acetobutylicum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Clostridium",1485,"genus"
