"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Unit","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
105845,NA,NA,"Butyrate-producing bacterium T1-817","Butyrate-Producing Bacteria",2.1,"Barcenilla_2000","exp","usually","high","mM","species","Bifidobacteriales",85004,"order"
105837,NA,NA,"Butyrate-producing bacterium T2-132","Butyrate-Producing Bacteria",2.2,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105826,NA,NA,"Butyrate-producing bacterium T2-145","Butyrate-Producing Bacteria",2.7,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105830,NA,NA,"Butyrate-producing bacterium T1-815","Butyrate-Producing Bacteria",3.3,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
718252,NA,NA,"Faecalibacterium prausnitzii L2-6","Butyrate-Producing Bacteria",3.3,"Barcenilla_2000","exp","usually","high","mM","strain","Faecalibacterium prausnitzii",853,"species"
105831,NA,NA,"Butyrate-producing bacterium L2-21","Butyrate-Producing Bacteria",3.6,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
136624,NA,NA,"Butyrate-producing bacterium L2-12","Butyrate-Producing Bacteria",4.6,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105825,NA,NA,"Butyrate-producing bacterium A2-207","Butyrate-Producing Bacteria",4.6,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105829,NA,NA,"Butyrate-producing bacterium A1-86","Butyrate-Producing Bacteria",4.7,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105840,NA,NA,"Butyrate-producing bacterium L2-10","Butyrate-Producing Bacteria",4.9,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105839,NA,NA,"Butyrate-producing bacterium A2-175","Butyrate-Producing Bacteria",5,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105835,NA,NA,"Butyrate-producing bacterium L1-810","Butyrate-Producing Bacteria",5.5,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105838,NA,NA,"Butyrate-producing bacterium A2-231","Butyrate-Producing Bacteria",5.6,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105834,NA,NA,"Butyrate-producing bacterium L1-81","Butyrate-Producing Bacteria",5.7,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
360807,NA,NA,"Roseburia inulinivorans","Butyrate-Producing Bacteria",6.5,"Barcenilla_2000","exp","usually","high","mM","species","Roseburia",841,"genus"
622312,NA,NA,"Roseburia inulinivorans DSM 16841","Butyrate-Producing Bacteria",7.3,"Barcenilla_2000","exp","usually","high","mM","strain","Roseburia inulinivorans",360807,"species"
105843,NA,NA,"Anaerobutyricum soehngenii","Butyrate-Producing Bacteria",7.9,"Barcenilla_2000","exp","usually","high","mM","species","Anaerobutyricum",2569097,"genus"
411490,NA,NA,"Anaerostipes caccae L1-92","Butyrate-Producing Bacteria",8.3,"Barcenilla_2000","exp","usually","high","mM","strain","Anaerostipes caccae",105841,"species"
105842,NA,NA,"Butyrate-producing bacterium A2-166","Butyrate-Producing Bacteria",9.7,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105832,NA,NA,"Butyrate-producing bacterium L1-93","Butyrate-Producing Bacteria",9.8,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
105844,NA,NA,"Butyrate-producing bacterium L2-50","Butyrate-Producing Bacteria",12.7,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
411483,NA,NA,"Faecalibacterium prausnitzii A2-165","Butyrate-Producing Bacteria",14.4,"Barcenilla_2000","exp","usually","high","mM","species","Faecalibacterium",216851,"genus"
585394,NA,NA,"Roseburia hominis A2-183","Butyrate-Producing Bacteria",20,"Barcenilla_2000","exp","usually","high","mM","strain","Roseburia hominis",301301,"species"
105833,NA,NA,"Butyrate-producing bacterium L1-952","Butyrate-Producing Bacteria",21.3,"Barcenilla_2000","exp","usually","high","mM","species","Eubacteriales",186802,"order"
