"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
91359,NA,"","Enterovibrio calviensis","sampling site","0,2 mm filtrated seawater","https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","exp","always","medium","species","Enterovibrio",188143,"genus"
344609,NA,"NC_010656, NC_010657, NC_010658, NC_010659, NC_010660, NC_010672","Shigella boydii CDC 3083-94","sampling site","12-year-old boy in arizona by dr. nancy stockbine","BacMap","exp","always","high","strain","Shigella boydii",621,"species"
281310,NA,"NC_007146","Haemophilus influenzae 86-028NP","sampling site","1890s during an influenza pandemic by pfeiffer","BacMap","exp","always","high","strain","Haemophilus influenzae",727,"species"
374930,NA,"NC_009566","Haemophilus influenzae PittEE","sampling site","1890s during an influenza pandemic by pfeiffer","BacMap","exp","always","high","strain","Haemophilus influenzae",727,"species"
374931,NA,"NC_009567","Haemophilus influenzae PittGG","sampling site","1890s during an influenza pandemic by pfeiffer","BacMap","exp","always","high","strain","Haemophilus influenzae",727,"species"
71421,NA,"NC_000907","Haemophilus influenzae Rd KW20","sampling site","1890s during an influenza pandemic by pfeiffer","BacMap","exp","always","high","strain","Haemophilus influenzae",727,"species"
579112,NA,"NC_012578, NC_012580","Vibrio cholerae M66-2","sampling site","1937 cholera outbreak in the makassar area of indonesia","BacMap","exp","always","high","strain","Vibrio cholerae",666,"species"
41514,NA,"NC_010067","Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- str.","sampling site","1940s by lilleengen","BacMap","exp","always","high","no rank","Salmonella enterica",28901,"species"
454166,NA,"NC_011148, NC_011149","Salmonella enterica subsp. enterica serovar Agona str. SL483","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
321314,NA,"NC_006855, NC_006856, NC_006905","Salmonella enterica subsp. enterica serovar Choleraesuis str.","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
439851,NA,"NC_011204, NC_011205","Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
550537,NA,"NC_011294","Salmonella enterica subsp. enterica serovar Enteritidis str.","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
550538,NA,"NC_011274","Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
454169,NA,"NC_011081, NC_011082, NC_011083","Salmonella enterica subsp. enterica serovar Heidelberg str. SL476","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
423368,NA,"NC_009140, NC_011079, NC_011080","Salmonella enterica subsp. enterica serovar Newport str. SL254","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
554290,NA,"NC_011147","Salmonella enterica subsp. enterica serovar Paratyphi A str.","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
295319,NA,"NC_006511","Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
476213,NA,"NC_012124, NC_012125","Salmonella enterica subsp. enterica serovar Paratyphi C strain","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
439843,NA,"NC_011092, NC_011093, NC_011094","Salmonella enterica subsp. enterica serovar Schwarzengrund str.","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
220341,NA,"NC_003198, NC_003384, NC_003385","Salmonella enterica subsp. enterica serovar Typhi str. CT18","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
209261,NA,"NC_004631","Salmonella enterica subsp. enterica serovar Typhi str. Ty2","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
99287,NA,"NC_003197, NC_003277","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sampling site","1940s by lilleengen","BacMap","exp","always","high","strain","Salmonella enterica",28901,"species"
222891,NA,"NC_007798","Neorickettsia sennetsu str. Miyayama","sampling site","1953 in japan causing sennetsu fever","BacMap","exp","always","high","strain","Neorickettsia sennetsu",951,"species"
196627,NA,"NC_003450, NC_006958","Corynebacterium glutamicum ATCC 13032","sampling site","1957 by s. kinoshita and colleagues while searching for an efficient glutamate-producer","BacMap","exp","always","high","strain","Corynebacterium glutamicum",1718,"species"
32049,NA,"NC_010474, NC_010475, NC_010476, NC_010477, NC_010478, NC_010479, NC_010480","Synechococcus sp. PCC 7002","sampling site","1961 from a mud sample that came from the fish pens from magueyes island in puerto rico","BacMap","exp","always","high","species","Synechococcus",1129,"genus"
290338,NA,"NC_009792, NC_009793, NC_009794","Citrobacter koseri ATCC BAA-895","sampling site","1983 in maryland where it caused neonatal meningitis","BacMap","exp","always","high","strain","Citrobacter koseri",545,"species"
269484,NA,"NC_007354","Ehrlichia canis str. Jake","sampling site","2-year old dog in north carolina in 1989","BacMap","exp","always","high","strain","Ehrlichia canis",944,"species"
412419,NA,"NC_011224, NC_011226, NC_011229, NC_011245, NC_011247, NC_011248, NC_011249, NC_011250, NC_011251, NC_011254, NC_011256, NC_011257, NC_011259, NC_011261, NC_011262, NC_011264, NC_011265","Borrelia duttonii Ly","sampling site","2-year-old girl with tick-borne relapsing fever in tanzania","BacMap","exp","always","high","strain","Borrelia duttonii",40834,"species"
45461,NA,"","Rhodococcus percolatus","sampling site","2,4,6-tcp enrichment culture in a percolator","https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","exp","always","medium",NA,NA,NA,NA
259536,NA,"NC_007204","Psychrobacter arcticus 273-4","sampling site","20-40000 year old serbian permafrost in russia, siberia, kolyma lowland","BacMap","exp","always","high","strain","Psychrobacter arcticus",334543,"species"
374833,NA,"NC_010120","Neisseria meningitidis 053442","sampling site","2003-2005 outbreak of meningococcal disease in china","BacMap","exp","always","high","strain","Neisseria meningitidis",487,"species"
412861,NA,"","Paenibacillus humicus","sampling site","2007, poultry litter compost","https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","exp","always","medium","species","Paenibacillus",44249,"genus"
1095191,NA,"","Oceanobacillus gochujangensis","sampling site","2009, gochujang, korean traditional hot pepper paste","https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","exp","always","medium","species","Oceanobacillus",182709,"genus"
990371,NA,"","Pedobacter ruber","sampling site","2010, soil","https://github.com/bacteria-archaea-traits/bacteria-archaea-traits/tree/master/output/prepared_data","exp","always","medium","species","Daejeonella",2762385,"genus"
298386,NA,"NC_005871, NC_006370, NC_006371","Photobacterium profundum SS9","sampling site","2500m depth from the sulu trough","BacMap","exp","always","high","strain","Photobacterium profundum",74109,"species"
387092,NA,"NC_009662","Nitratiruptor sp. SB155-2","sampling site","30-m-tall sulfide mound in the iheya north field, japan","BacMap","exp","always","high","species","Nitratiruptor",269258,"genus"
387093,NA,"NC_009663","Sulfurovum sp. NBC37-1","sampling site","30-m-tall sulfide mound in the iheya north field, japan (water depth, 1,000 m)","BacMap","exp","always","high","species","Sulfurovum",265570,"genus"
391165,NA,"NC_008343","Granulibacter bethesdensis CGDNIH1","sampling site","39 year old man with chronic granulomatous disease","BacMap","exp","always","high","strain","Granulibacter bethesdensis",364410,"species"
362976,NA,"NC_008212, NC_008213","Haloquadratum walsbyi DSM 16790","sampling site","39% total salinity crystallizer pond; spain, brac del port, alicante","BacMap","exp","always","high","strain","Haloquadratum walsbyi",293091,"species"
279238,NA,"NC_007794, NC_009426, NC_009427","Novosphingobium aromaticivorans DSM 12444","sampling site","410m depth from a borehole sample that was drilled at the savannah river site in south carolina","BacMap","exp","always","high","strain","Novosphingobium aromaticivorans",48935,"species"
146891,NA,"NC_008816","Prochlorococcus marinus str. AS9601","sampling site","5m depth in mediterranean sea","BacMap","exp","always","high","strain","Prochlorococcus marinus",1219,"species"
93059,NA,"NC_009976","Prochlorococcus marinus str. MIT 9211","sampling site","5m depth in mediterranean sea","BacMap","exp","always","high","strain","Prochlorococcus marinus",1219,"species"
93060,NA,"NC_009840","Prochlorococcus marinus str. MIT 9215","sampling site","5m depth in mediterranean sea","BacMap","exp","always","high","strain","Prochlorococcus marinus",1219,"species"
59922,NA,"NC_008820","Prochlorococcus marinus str. MIT 9303","sampling site","5m depth in mediterranean sea","BacMap","exp","always","high","strain","Prochlorococcus marinus",1219,"species"
74547,NA,"NC_005071","Prochlorococcus marinus str. MIT 9313","sampling site","5m depth in mediterranean sea","BacMap","exp","always","high","strain","Prochlorococcus marinus",1219,"species"
167542,NA,"NC_008817","Prochlorococcus marinus str. MIT 9515","sampling site","5m depth in mediterranean sea","BacMap","exp","always","high","strain","Prochlorococcus marinus",1219,"species"
59920,NA,"NC_007335","Prochlorococcus marinus str. TL2A","sampling site","5m depth in mediterranean sea","BacMap","exp","always","high","strain","Prochlorococcus marinus",1219,"species"
