"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Note","Unit","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
105834,NA,NA,"Butyrate-producing bacterium L1-81","lactate producing",1.4,"Barcenilla_2000","exp","usually","high","L1-81","mM","species","Eubacteriales",186802,"order"
105835,NA,NA,"Butyrate-producing bacterium L1-810","lactate producing",25.5,"Barcenilla_2000","exp","usually","high","L1-810","mM","species","Eubacteriales",186802,"order"
105833,NA,NA,"Butyrate-producing bacterium L1-952","lactate producing",7.1,"Barcenilla_2000","exp","usually","high","L1-952","mM","species","Eubacteriales",186802,"order"
105832,NA,NA,"Butyrate-producing bacterium L1-93","lactate producing",5.7,"Barcenilla_2000","exp","usually","high","L1-93","mM","species","Eubacteriales",186802,"order"
360807,NA,NA,"Roseburia inulinivorans","lactate producing",2.1,"Barcenilla_2000","exp","usually","high","L1-83","mM","species","Roseburia",841,"genus"
411490,NA,NA,"Anaerostipes caccae L1-92","lactate producing",0.1,"Barcenilla_2000","exp","usually","high","L1-92","mM","strain","Anaerostipes caccae",105841,"species"
105844,NA,NA,"Butyrate-producing bacterium L2-50","lactate producing",0.97,"Barcenilla_2000","exp","usually","high","L2-50","mM","species","Eubacteriales",186802,"order"
105829,NA,NA,"Butyrate-producing bacterium A1-86","lactate producing",26.5,"Barcenilla_2000","exp","usually","high","A1-86","mM","species","Eubacteriales",186802,"order"
585394,NA,NA,"Roseburia hominis A2-183","lactate producing",9.7,"Barcenilla_2000","exp","usually","high","A2-183","mM","strain","Roseburia hominis",301301,"species"
105830,NA,NA,"Butyrate-producing bacterium T1-815","lactate producing",18.7,"Barcenilla_2000","exp","usually","high","T1-815","mM","species","Eubacteriales",186802,"order"
105845,NA,NA,"Butyrate-producing bacterium T1-817","lactate producing",9.2,"Barcenilla_2000","exp","usually","high","T1-817","mM","species","Bifidobacteriales",85004,"order"
411483,NA,NA,"Faecalibacterium prausnitzii A2-165","lactate producing",2.9,"Barcenilla_2000","exp","usually","high","A2-165","mM","species","Faecalibacterium",216851,"genus"
105825,NA,NA,"Butyrate-producing bacterium A2-207","lactate producing",0,"Barcenilla_2000","exp","usually","high","A2-207","mM","species","Eubacteriales",186802,"order"
105837,NA,NA,"Butyrate-producing bacterium T2-132","lactate producing",6.7,"Barcenilla_2000","exp","usually","high","T2-132","mM","species","Eubacteriales",186802,"order"
622312,NA,NA,"Roseburia inulinivorans DSM 16841","lactate producing",7.1,"Barcenilla_2000","exp","usually","high","A2-194","mM","strain","Roseburia inulinivorans",360807,"species"
