"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
178606,NA,NA,"Leptospirillum ferriphilum","optimal ph",1.65,"The Microbe Directory","exp","usually","low","species","Leptospirillum",179,"genus"
53633,NA,NA,"Sulfobacillus acidophilus","optimal ph",1.8,"The Microbe Directory","exp","usually","low","species","Sulfobacillus",28033,"genus"
160808,NA,NA,"Acidithiobacillus ferrivorans","optimal ph",1.9,"The Microbe Directory","exp","usually","low","species","Acidithiobacillus",119977,"genus"
920,NA,NA,"Acidithiobacillus ferrooxidans","optimal ph",2,"The Microbe Directory","exp","usually","low","species","Acidithiobacillus",119977,"genus"
53635,NA,NA,"Acidimicrobium ferrooxidans","optimal ph",2,"The Microbe Directory","exp","usually","low","species","Acidimicrobium",53634,"genus"
50339,NA,NA,"Thermoplasma volcanium","optimal ph",2,"The Microbe Directory","exp","usually","low","species","Thermoplasma",2302,"genus"
28034,NA,NA,"Sulfobacillus thermosulfidooxidans","optimal ph",2.15,"The Microbe Directory","exp","usually","low","species","Sulfobacillus",28033,"genus"
67780,NA,NA,"Edwardsiella ictaluri","optimal ph",2.5,"The Microbe Directory","exp","usually","low","species","Edwardsiella",635,"genus"
405212,NA,NA,"Alicyclobacillus acidocaldarius","optimal ph",3.5,"The Microbe Directory","exp","usually","low","species","Alicyclobacillus",29330,"genus"
61645,NA,NA,"Enterobacter asburiae","optimal ph",3.5,"The Microbe Directory","exp","usually","low","species","Enterobacter",547,"genus"
1450,NA,NA,"Alicyclobacillus acidoterrestris","optimal ph",4,"The Microbe Directory","exp","usually","low","species","Alicyclobacillus",29330,"genus"
89784,NA,NA,"Alicyclobacillus hesperidum","optimal ph",4,"The Microbe Directory","exp","usually","low","species","Alicyclobacillus",29330,"genus"
232270,NA,NA,"Alicyclobacillus pohliae","optimal ph",4,"The Microbe Directory","exp","usually","low","species","Effusibacillus",1502725,"genus"
176292,NA,NA,"Lactobacillus malefermentans","optimal ph",4.3,"The Microbe Directory","exp","usually","low","species","Secundilactobacillus",2767892,"genus"
454171,NA,NA,"Chthonomonas calidirosea","optimal ph",4.3,"The Microbe Directory","exp","usually","low","species","Chthonomonas",1077265,"genus"
1345,NA,NA,"Streptococcus ferus","optimal ph",4.35,"The Microbe Directory","exp","usually","low","species","Streptococcus",1301,"genus"
489138,NA,NA,"Halarchaeum acidiphilum","optimal ph",4.45,"The Microbe Directory","exp","usually","low","species","Halarchaeum",744724,"genus"
33075,NA,NA,"Acidobacterium capsulatum","optimal ph",4.5,"The Microbe Directory","exp","usually","low","species","Acidobacterium",33973,"genus"
1689,NA,NA,"Bifidobacterium dentium","optimal ph",4.5,"The Microbe Directory","exp","usually","low","species","Bifidobacterium",1678,"genus"
153233,NA,NA,"Oceanicaulis alexandrii","optimal ph",4.5,"The Microbe Directory","exp","usually","low","species","Oceanicaulis",153232,"genus"
396,NA,NA,"Rhizobium phaseoli","optimal ph",4.6,"The Microbe Directory","exp","usually","low","species","Rhizobium",379,"genus"
1339,NA,NA,"Streptococcus macacae","optimal ph",4.75,"The Microbe Directory","exp","usually","low","species","Streptococcus",1301,"genus"
253239,NA,NA,"Ethanoligenens harbinense","optimal ph",4.75,"The Microbe Directory","exp","usually","low","species","Ethanoligenens",253238,"genus"
1279027,NA,NA,"Hippea alviniae","optimal ph",4.75,"The Microbe Directory","exp","usually","low","species","Hippea",84404,"genus"
337,NA,NA,"Burkholderia glumae","optimal ph",4.8,"The Microbe Directory","exp","usually","low","species","Burkholderia",32008,"genus"
33043,NA,NA,"Coprococcus eutactus","optimal ph",4.85,"The Microbe Directory","exp","usually","low","species","Coprococcus",33042,"genus"
267818,NA,NA,"Lactobacillus kefiranofaciens","optimal ph",5,"The Microbe Directory","exp","usually","low","species","Lactobacillus",1578,"genus"
332163,NA,NA,"Candidatus Solibacter usitatus","optimal ph",5,"The Microbe Directory","exp","usually","low","species","Candidatus Solibacter",332162,"genus"
940615,NA,NA,"Granulicella tundricola","optimal ph",5,"The Microbe Directory","exp","usually","low","species","Granulicella",940557,"genus"
940614,NA,NA,"Granulicella mallensis","optimal ph",5,"The Microbe Directory","exp","usually","low","species","Granulicella",940557,"genus"
311334,NA,NA,"Chryseobacterium taeanense","optimal ph",5,"The Microbe Directory","exp","usually","low","species","Chryseobacterium",59732,"genus"
388413,NA,NA,"Algoriphagus machipongonensis","optimal ph",5,"The Microbe Directory","exp","usually","low","species","Algoriphagus",246875,"genus"
230143,NA,NA,"Scardovia wiggsiae","optimal ph",5,"The Microbe Directory","exp","usually","low","species","Scardovia",196081,"genus"
47678,NA,NA,"Bacteroides caccae","optimal ph",5,"The Microbe Directory","exp","usually","low","species","Bacteroides",816,"genus"
358766,NA,NA,"Methanoregula boonei","optimal ph",5.1,"The Microbe Directory","exp","usually","low","species","Methanoregula",395331,"genus"
885581,NA,NA,"Desulfosporosinus acidiphilus","optimal ph",5.2,"The Microbe Directory","exp","usually","low","species","Desulfosporosinus",79206,"genus"
78258,NA,NA,"Parascardovia denticolens","optimal ph",5.2,"The Microbe Directory","exp","usually","low","species","Parascardovia",196082,"genus"
